,zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift,target,type
547,No,No,Yes,No,No,1,5,No,8,857,334,398,20,25,33.0,7.0,7.0,29,3,5.5,Donor,dev
548,No,No,No,Yes,Yes,1,6,Yes,9,5359,1109,1051,1,54,246.0,100.0,50.0,37,10,30.75,Donor,dev
549,No,No,No,Yes,Yes,1,4,Yes,8,2847,494,551,2,21,30.0,20.0,20.0,34,3,15.0,No Donor,train
550,No,No,Yes,No,Yes,1,5,Yes,8,1501,419,538,9,48,54.0,15.0,15.0,30,7,9.0,Donor,dev
551,No,Yes,No,No,Yes,1,2,Yes,8,723,494,511,17,30,41.0,7.0,3.0,31,7,3.727272727,Donor,train
552,Yes,No,No,No,No,1,4,No,8,1016,415,448,9,27,55.0,20.0,15.0,30,5,13.75,No Donor,train
553,No,No,No,Yes,Yes,1,4,Yes,8,3510,622,633,4,22,25.0,15.0,15.0,34,3,12.5,No Donor,train
554,No,No,No,Yes,No,1,2,Yes,1,1038,254,304,33,58,101.0,10.0,6.0,33,4,5.611111111,Donor,train
555,Yes,No,No,No,Yes,1,4,Yes,8,886,453,505,5,87,608.0,25.0,20.0,29,7,13.51111111,Donor,train
556,No,No,No,Yes,Yes,1,6,No,5,1771,435,532,3,61,104.5,12.0,10.0,36,13,8.708333333,No Donor,dev
557,Yes,No,No,No,Yes,1,3,Yes,8,572,236,265,20,35,30.0,5.0,5.0,31,8,4.285714286,Donor,train
558,No,No,No,Yes,Yes,1,2,Yes,7,1732,394,447,7,35,64.0,15.0,15.0,35,7,10.66666667,Donor,train
559,No,No,No,Yes,Yes,1,5,Yes,3,1318,289,282,22,55,103.0,15.0,10.0,29,21,6.058823529,No Donor,dev
560,Yes,No,No,No,No,1,5,Yes,8,661,363,372,15,35,65.0,7.0,7.0,32,6,5.0,No Donor,train
561,No,No,No,Yes,No,1,2,Yes,8,687,213,283,24,28,40.0,5.0,5.0,31,2,4.444444444,No Donor,train
562,Yes,No,No,No,Yes,1,4,Yes,8,1096,436,456,8,26,45.0,20.0,20.0,31,5,15.0,No Donor,train
563,No,No,No,Yes,Yes,1,2,Yes,2,985,292,327,18,51,110.0,26.0,23.0,28,8,15.71428571,No Donor,train
564,No,No,Yes,No,Yes,1,2,Yes,1,369,165,216,46,90,206.0,10.0,10.0,17,13,7.62962963,Donor,train
565,Yes,No,No,No,Yes,1,4,Yes,8,753,258,326,20,30,43.0,12.0,10.0,33,10,10.75,Donor,dev
566,No,Yes,No,No,Yes,1,2,Yes,8,429,295,347,15,41,52.0,20.0,20.0,29,14,10.4,No Donor,train
567,No,No,Yes,No,Yes,1,3,Yes,1,437,250,302,24,70,510.0,50.0,50.0,33,3,22.17391304,No Donor,train
568,No,Yes,No,No,Yes,1,4,No,8,363,308,311,21,30,73.0,20.0,7.0,35,2,8.111111111,Donor,train
569,Yes,No,No,No,Yes,1,5,No,6,688,295,347,15,55,92.0,25.0,25.0,21,19,13.14285714,Donor,train
570,No,No,No,Yes,Yes,1,7,No,8,2044,585,635,0,108,227.0,15.0,15.0,17,5,6.878787879,No Donor,train
571,No,Yes,No,No,Yes,1,4,Yes,5,719,376,414,13,69,114.0,7.0,5.0,33,3,5.181818182,No Donor,train
572,No,No,No,Yes,No,1,1,Yes,3,1218,127,212,53,36,51.0,20.0,20.0,37,12,12.75,No Donor,train
573,Yes,No,No,No,Yes,1,4,No,4,524,273,348,18,81,177.0,17.0,8.0,31,4,6.555555556,Donor,train
574,No,No,No,Yes,Yes,1,6,Yes,5,1851,421,490,5,68,98.0,8.0,4.0,31,8,4.666666667,No Donor,train
575,No,No,No,Yes,Yes,1,1,Yes,0,707,168,279,48,91,511.0,22.0,13.0,31,6,9.462962963,Donor,train
576,No,No,Yes,No,Yes,1,4,Yes,8,409,283,306,24,25,61.0,14.0,9.0,33,6,10.16666667,Donor,dev
577,No,No,No,Yes,No,1,6,Yes,8,1219,549,612,8,26,40.0,20.0,20.0,36,18,20.0,Donor,train
578,Yes,No,No,No,Yes,1,4,No,8,571,228,287,31,29,30.0,6.0,5.0,31,3,5.0,Donor,dev
579,No,No,No,Yes,Yes,3,4,Yes,6,2433,451,475,6,61,93.0,8.0,7.0,36,10,5.8125,Donor,train
580,No,No,Yes,No,Yes,1,1,No,4,927,446,442,8,56,86.0,10.0,10.0,37,7,6.615384615,No Donor,train
581,Yes,No,No,No,Yes,1,4,Yes,3,835,289,335,19,73,158.0,12.0,10.0,37,9,8.777777778,Donor,train
582,No,No,No,Yes,Yes,1,5,Yes,8,1244,283,351,19,60,86.0,10.0,10.0,30,7,5.733333333,No Donor,train
583,No,No,Yes,No,Yes,1,2,Yes,7,668,277,283,40,41,54.0,11.0,3.0,28,11,7.714285714,No Donor,train
584,No,Yes,No,No,Yes,1,4,Yes,8,482,242,275,28,38,73.0,10.0,10.0,31,3,7.3,Donor,train
585,No,No,Yes,No,Yes,1,2,No,3,596,279,353,21,68,94.0,7.0,5.0,29,2,4.7,Donor,train
586,Yes,No,No,No,Yes,1,2,Yes,0,470,212,264,34,58,86.0,15.0,15.0,28,3,10.75,No Donor,train
587,No,Yes,No,No,Yes,1,5,No,9,1598,659,738,3,45,102.0,24.0,24.0,33,18,14.57142857,No Donor,dev
588,No,No,Yes,No,Yes,1,4,No,8,0,0,0,0,17,25.0,25.0,25.0,37,5,25.0,No Donor,train
589,No,No,Yes,No,No,1,3,Yes,8,537,248,307,29,26,92.0,25.0,15.0,31,1,15.33333333,Donor,train
590,No,No,Yes,No,No,1,3,Yes,2,402,269,310,26,74,129.0,20.0,20.0,27,3,10.75,No Donor,train
591,No,No,Yes,No,Yes,1,4,No,5,847,574,580,10,34,59.0,9.0,7.0,28,16,6.555555556,No Donor,train
592,No,No,Yes,No,No,1,6,Yes,2,461,222,258,34,48,69.0,15.0,15.0,34,8,11.5,No Donor,train
593,No,No,No,Yes,Yes,1,5,Yes,8,928,429,449,7,24,45.0,25.0,25.0,33,9,22.5,Donor,train
594,No,No,No,Yes,Yes,1,4,Yes,6,468,218,264,29,89,281.0,40.0,40.0,28,3,10.40740741,Donor,train
595,Yes,No,No,No,Yes,1,5,Yes,0,286,150,163,50,74,327.0,10.0,10.0,31,14,7.604651163,Donor,train
596,No,No,Yes,No,Yes,2,3,Yes,3,444,233,247,8,45,50.0,15.0,15.0,29,44,10.0,Donor,train
597,No,No,Yes,No,Yes,1,5,Yes,8,1732,603,653,0,13,20.0,20.0,20.0,36,5,20.0,Donor,train
598,No,No,No,Yes,No,1,4,No,3,698,267,292,15,42,90.0,20.0,20.0,37,3,15.0,No Donor,train
599,No,No,Yes,No,Yes,1,4,Yes,8,1316,541,604,10,62,185.0,20.0,20.0,32,4,15.41666667,No Donor,dev
600,No,No,Yes,No,No,1,3,Yes,8,4345,285,378,26,25,40.0,10.0,10.0,28,4,10.0,Donor,dev
601,No,No,No,Yes,Yes,1,4,No,9,2413,613,658,2,56,94.0,23.0,23.0,29,8,11.75,No Donor,train
602,Yes,No,No,No,Yes,1,4,Yes,8,662,358,377,3,46,58.0,10.0,7.0,30,4,4.833333333,No Donor,train
603,No,No,No,Yes,Yes,1,5,Yes,8,1163,431,483,9,15,25.0,25.0,25.0,33,5,25.0,Donor,train
604,Yes,No,No,No,Yes,1,3,No,4,543,282,335,14,77,213.0,7.0,5.0,32,2,5.071428571,Donor,dev
605,Yes,No,No,No,Yes,1,5,No,9,975,569,635,3,43,55.0,11.0,10.0,32,6,9.166666667,No Donor,train
606,No,No,Yes,No,Yes,1,5,Yes,4,420,141,253,54,75,172.0,20.0,20.0,32,12,10.75,Donor,train
607,No,No,Yes,No,No,1,2,No,8,649,380,398,10,25,33.0,12.0,3.0,37,2,6.6,Donor,train
608,No,Yes,No,No,Yes,1,5,Yes,8,772,505,544,0,26,39.0,10.0,9.0,31,4,7.8,Donor,train
609,No,No,No,Yes,Yes,1,4,No,1,2070,533,559,5,58,340.0,16.0,5.0,31,2,11.72413793,Donor,dev
610,No,No,No,Yes,Yes,1,6,No,7,1891,534,525,9,90,331.0,25.0,25.0,23,11,19.47058824,Donor,train
611,No,No,No,Yes,Yes,1,4,Yes,0,443,146,192,54,54,110.0,15.0,12.0,37,9,10.0,No Donor,train
612,No,No,No,Yes,No,1,2,Yes,1,659,206,250,32,84,291.0,15.0,8.0,32,0,8.818181818,Donor,train
613,No,No,No,Yes,Yes,1,6,No,8,713,288,339,19,33,118.0,53.0,10.0,30,4,23.6,No Donor,train
614,No,No,No,Yes,Yes,1,6,No,0,1213,401,449,16,40,186.0,31.0,31.0,31,6,26.57142857,Donor,dev
615,No,No,No,Yes,Yes,1,4,No,8,956,494,529,2,38,80.0,15.0,10.0,35,8,7.272727273,Donor,train
616,No,No,No,Yes,Yes,1,4,No,8,1479,436,463,11,23,27.0,15.0,7.0,34,7,9.0,No Donor,train
617,Yes,No,No,No,No,1,2,No,3,626,299,314,22,86,158.0,15.0,15.0,20,7,9.294117647,No Donor,dev
618,No,Yes,No,No,Yes,1,5,Yes,8,998,578,545,2,21,30.0,10.0,5.0,28,6,7.5,Donor,train
619,No,Yes,No,No,Yes,1,2,Yes,8,696,219,267,31,72,87.25,7.0,7.0,30,4,4.592105263,Donor,dev
620,No,Yes,No,No,Yes,1,4,No,3,992,321,388,20,104,226.0,11.0,10.0,31,6,7.533333333,No Donor,train
621,No,Yes,No,No,Yes,1,4,No,5,461,310,323,17,62,104.0,7.0,5.0,32,1,2.971428571,Donor,train
622,No,No,No,Yes,No,1,4,Yes,8,564,202,317,45,35,82.0,20.0,12.0,31,6,13.66666667,Donor,train
623,No,No,No,Yes,Yes,1,6,Yes,8,2658,621,665,3,76,414.0,20.0,15.0,37,5,11.18918919,Donor,dev
624,No,No,Yes,No,Yes,1,5,Yes,8,681,365,389,7,72,195.0,11.0,10.0,29,9,7.222222222,No Donor,train
625,No,No,No,Yes,Yes,1,4,Yes,9,916,395,449,10,93,246.0,14.0,14.0,33,9,8.785714286,Donor,train
626,No,No,No,Yes,No,1,1,Yes,0,0,147,186,52,71,99.0,6.0,5.0,31,5,4.5,Donor,train
627,No,No,Yes,No,Yes,1,4,No,8,1133,390,437,17,22,30.0,30.0,30.0,37,5,30.0,Donor,train
628,Yes,No,No,No,Yes,1,4,No,1,389,222,251,29,46,107.0,20.0,10.0,33,10,8.230769231,Donor,dev
629,No,No,No,Yes,Yes,1,5,No,7,1300,454,447,3,68,147.0,12.0,10.0,29,1,9.1875,Donor,dev
630,Yes,No,No,No,No,1,3,Yes,8,564,312,352,14,55,78.0,7.0,7.0,30,1,4.875,No Donor,train
631,No,No,No,Yes,Yes,1,4,Yes,8,1043,246,303,24,17,20.0,20.0,20.0,37,5,20.0,Donor,train
632,No,Yes,No,No,Yes,1,5,No,9,1445,686,703,3,95,333.0,25.0,20.0,25,2,15.13636364,No Donor,train
633,No,Yes,No,No,Yes,1,2,Yes,8,453,324,347,21,28,58.0,15.0,15.0,31,5,11.6,Donor,dev
634,No,No,No,Yes,Yes,1,4,No,8,605,338,379,15,25,35.0,7.0,7.0,31,2,5.833333333,No Donor,train
635,No,No,Yes,No,Yes,1,2,Yes,8,749,357,400,19,24,65.0,25.0,25.0,30,3,21.66666667,No Donor,dev
636,No,No,No,Yes,Yes,1,4,No,8,2232,517,532,6,11,15.0,15.0,15.0,34,5,15.0,No Donor,dev
637,No,No,No,Yes,No,1,4,Yes,8,1306,449,460,7,55,110.0,15.0,10.0,28,19,9.166666667,Donor,train
638,No,Yes,No,No,Yes,1,2,Yes,8,740,343,399,10,37,44.0,7.0,6.0,29,14,5.5,No Donor,train
639,Yes,No,No,No,Yes,1,3,Yes,8,473,283,319,21,30,29.0,11.0,10.0,32,15,7.25,Donor,train
640,No,No,Yes,No,Yes,1,2,Yes,8,485,318,352,14,56,123.0,9.0,9.0,30,7,5.857142857,Donor,train
641,No,No,No,Yes,No,1,7,No,9,2564,516,640,11,54,119.0,11.0,8.0,28,3,7.933333333,Donor,train
642,No,No,No,Yes,Yes,1,6,Yes,8,2307,474,525,7,27,32.0,6.0,6.0,29,1,5.333333333,No Donor,train
643,Yes,No,No,No,Yes,1,4,No,0,423,247,298,31,52,185.0,35.0,21.0,36,5,12.33333333,No Donor,train
644,Yes,No,No,No,No,1,1,No,6,1522,388,453,12,56,71.0,12.0,12.0,29,27,7.888888889,No Donor,train
645,No,No,No,Yes,Yes,1,2,Yes,4,580,335,352,19,72,246.0,21.0,21.0,30,13,13.66666667,No Donor,train
646,Yes,No,No,No,No,1,1,No,3,457,267,296,18,52,91.0,9.0,9.0,34,3,7.0,No Donor,train
647,No,No,Yes,No,No,1,7,No,8,455,388,546,21,37,45.0,20.0,20.0,37,2,11.25,Donor,train
648,No,No,Yes,No,Yes,1,2,Yes,8,845,488,530,1,22,20.0,10.0,10.0,30,3,6.666666667,Donor,train
649,Yes,No,No,No,Yes,1,3,No,7,698,433,495,3,64,118.0,25.0,15.0,17,16,14.75,No Donor,train
650,No,No,Yes,No,Yes,1,5,Yes,8,675,380,414,11,12,15.0,15.0,15.0,34,5,15.0,No Donor,train
651,No,No,Yes,No,Yes,2,3,No,6,882,432,471,6,67,80.25,9.0,9.0,29,12,4.720588235,Donor,dev
652,No,No,No,Yes,Yes,1,5,Yes,2,1436,292,359,24,74,346.0,20.0,15.0,33,6,11.53333333,Donor,train
653,Yes,No,No,No,Yes,1,4,No,8,337,174,217,42,32,49.0,5.0,5.0,31,3,4.454545455,Donor,train
654,No,Yes,No,No,No,1,2,Yes,8,563,331,374,13,37,68.0,10.0,10.0,28,14,8.5,No Donor,train
655,Yes,No,No,No,Yes,1,1,Yes,8,1138,424,441,9,25,34.0,5.0,5.0,30,1,4.25,Donor,dev
656,No,No,Yes,No,No,1,4,No,6,490,302,346,16,53,90.0,5.0,5.0,31,4,5.0,Donor,dev
657,Yes,No,No,No,Yes,1,2,Yes,3,919,287,349,13,104,384.0,12.5,11.0,34,4,9.6,No Donor,train
658,No,No,Yes,No,Yes,1,5,No,8,1015,385,416,6,32,55.0,10.0,10.0,30,4,7.857142857,Donor,train
659,Yes,No,No,No,Yes,1,5,Yes,9,1177,618,651,1,58,94.0,16.0,15.0,37,7,10.44444444,No Donor,train
660,Yes,No,No,No,Yes,1,4,Yes,5,858,314,372,11,68,199.0,10.0,7.0,35,3,6.21875,Donor,train
661,Yes,No,No,No,Yes,1,2,No,8,568,259,297,30,16,15.0,15.0,15.0,37,5,15.0,No Donor,train
662,No,Yes,No,No,Yes,1,5,Yes,7,490,347,367,11,57,94.0,20.0,20.0,31,5,7.230769231,No Donor,train
663,No,No,Yes,No,Yes,2,3,No,8,336,213,256,36,34,47.0,6.0,4.0,28,3,4.272727273,No Donor,train
664,Yes,No,No,No,Yes,3,3,No,2,556,269,290,26,44,60.0,25.0,25.0,31,14,10.0,No Donor,train
665,No,Yes,No,No,Yes,1,4,Yes,6,961,343,407,13,71,187.0,9.0,7.0,32,4,5.84375,No Donor,train
666,No,No,Yes,No,Yes,1,5,Yes,0,1087,547,606,4,128,447.0,18.0,15.0,32,4,6.772727273,No Donor,train
667,No,No,Yes,No,No,1,4,Yes,2,381,222,269,35,54,90.0,20.0,20.0,37,16,15.0,Donor,train
668,No,Yes,No,No,Yes,1,2,No,3,621,254,318,27,65,60.0,6.0,5.0,34,4,4.0,No Donor,train
669,Yes,No,No,No,No,1,5,Yes,4,489,238,299,16,85,258.0,12.0,12.0,29,4,7.588235294,No Donor,train
670,No,No,Yes,No,Yes,1,1,Yes,3,421,199,226,36,39,62.0,16.0,16.0,37,3,6.888888889,No Donor,dev
671,Yes,No,No,No,Yes,1,4,Yes,8,451,236,283,28,25,45.0,25.0,25.0,36,5,15.0,No Donor,train
672,No,Yes,No,No,Yes,1,5,No,8,734,369,400,12,38,66.0,11.0,8.0,29,13,8.25,No Donor,train
673,No,No,Yes,No,No,1,1,No,6,428,329,333,20,77,202.0,20.0,5.0,32,3,9.181818182,No Donor,train
674,No,No,No,Yes,Yes,1,6,No,1,569,227,285,29,63,101.0,5.0,2.0,30,3,2.463414634,Donor,train
675,No,Yes,No,No,No,1,3,No,2,466,215,250,30,74,122.0,8.0,5.0,32,8,4.692307692,No Donor,dev
676,No,Yes,No,No,Yes,1,6,No,8,910,395,518,0,54,75.0,8.0,8.0,28,3,6.818181818,No Donor,dev
677,No,No,Yes,No,Yes,1,4,Yes,5,531,357,404,5,35,58.0,15.0,10.0,31,7,9.666666667,Donor,train
678,No,No,Yes,No,Yes,1,4,No,6,635,411,470,13,54,139.0,20.0,20.0,29,5,11.58333333,No Donor,train
679,No,No,No,Yes,No,1,5,Yes,8,1709,316,367,19,80,282.0,21.0,19.0,33,8,13.42857143,Donor,train
680,No,Yes,No,No,Yes,1,2,Yes,1,613,223,316,11,76,175.0,12.0,10.0,36,12,7.291666667,No Donor,train
681,No,No,No,Yes,Yes,1,4,No,0,2759,194,204,43,65,217.5,12.0,12.0,28,5,9.0625,No Donor,dev
682,No,No,Yes,No,No,1,2,Yes,4,514,234,293,35,89,687.0,25.0,25.0,28,9,17.61538462,No Donor,train
683,Yes,No,No,No,Yes,1,4,Yes,9,2340,634,738,0,40,111.0,20.0,12.0,31,4,11.1,Donor,train
684,No,No,Yes,No,Yes,1,4,No,4,660,411,438,6,43,66.0,25.0,25.0,37,15,11.0,No Donor,train
685,No,No,No,Yes,Yes,1,4,Yes,8,2810,477,541,12,29,34.0,6.0,6.0,31,1,4.857142857,No Donor,dev
686,Yes,No,No,No,Yes,1,4,Yes,6,694,358,386,15,72,119.0,7.0,4.0,28,5,4.958333333,Donor,train
687,Yes,No,No,No,No,1,5,Yes,9,1173,420,504,10,58,67.0,5.0,5.0,31,7,3.941176471,No Donor,train
688,No,No,Yes,No,Yes,1,7,Yes,6,653,453,487,13,57,161.0,22.0,22.0,31,6,11.5,Donor,train
689,No,No,Yes,No,No,1,5,Yes,1,350,181,223,40,69,261.0,15.0,5.0,28,3,7.676470588,No Donor,train
690,No,No,No,Yes,No,1,1,Yes,8,729,390,424,6,48,142.0,20.0,18.0,28,2,15.77777778,Donor,dev
691,No,No,No,Yes,Yes,1,1,Yes,8,769,478,453,10,20,19.0,15.0,15.0,34,9,9.5,Donor,dev
692,No,No,No,Yes,Yes,1,4,No,9,3014,530,640,2,69,71.0,5.0,4.0,30,18,3.380952381,No Donor,train
693,Yes,No,No,No,Yes,1,4,Yes,6,562,358,352,7,59,132.0,14.0,13.0,32,7,9.428571429,Donor,train
694,No,No,No,Yes,Yes,1,1,No,8,2773,443,556,8,14,15.0,15.0,15.0,36,5,15.0,No Donor,train
695,No,No,No,Yes,Yes,1,4,Yes,8,782,460,453,10,54,111.0,20.0,20.0,28,4,12.33333333,Donor,dev
696,No,No,No,Yes,Yes,1,5,Yes,9,2491,683,762,1,83,282.0,20.0,11.0,34,8,11.28,Donor,dev
697,Yes,No,No,No,Yes,1,2,Yes,8,531,300,374,18,22,30.0,10.0,10.0,29,6,10.0,No Donor,train
698,No,No,No,Yes,Yes,1,5,No,8,1009,315,363,15,33,57.0,25.0,20.0,36,6,14.25,Donor,dev
699,No,No,Yes,No,Yes,3,5,Yes,0,308,136,210,54,74,90.0,7.0,5.0,28,3,4.5,Donor,train
700,Yes,No,No,No,Yes,1,4,No,8,693,308,337,10,16,15.0,15.0,15.0,36,5,15.0,Donor,train
701,No,Yes,No,No,Yes,1,3,No,8,465,297,340,19,15,15.0,15.0,15.0,37,5,15.0,Donor,dev
702,No,Yes,No,No,Yes,1,3,Yes,0,573,321,351,18,108,164.0,10.0,9.0,31,0,5.290322581,Donor,train
703,No,No,No,Yes,Yes,1,4,Yes,8,2964,467,522,9,59,143.0,21.0,21.0,36,4,11.0,No Donor,dev
704,No,No,No,Yes,No,1,2,No,5,530,249,287,26,60,93.0,15.0,15.0,31,4,11.625,No Donor,train
705,No,No,No,Yes,Yes,1,4,Yes,6,1528,485,537,4,49,55.0,5.0,5.0,28,8,5.0,Donor,train
706,Yes,No,No,No,No,1,2,Yes,8,795,376,421,9,26,31.0,10.0,9.0,32,5,7.75,No Donor,dev
707,Yes,No,No,No,Yes,1,1,No,5,1077,331,414,15,83,292.0,12.0,12.0,17,2,9.733333333,Donor,train
708,No,Yes,No,No,Yes,1,3,No,8,1153,511,571,4,26,40.0,15.0,15.0,31,5,10.0,No Donor,train
709,No,No,No,Yes,No,1,2,No,8,860,298,332,19,38,115.0,24.0,24.0,32,5,12.77777778,No Donor,dev
710,No,No,Yes,No,Yes,1,5,No,8,567,318,363,8,33,32.0,5.0,5.0,31,1,3.555555556,Donor,train
711,No,Yes,No,No,Yes,1,4,Yes,1,553,188,226,40,74,279.0,12.0,5.0,28,7,7.75,Donor,dev
712,No,No,No,Yes,No,1,2,Yes,8,707,386,430,18,53,85.0,14.0,14.0,31,4,7.083333333,Donor,train
713,No,No,Yes,No,Yes,1,7,Yes,5,486,321,353,18,83,227.0,10.0,5.0,28,3,5.279069767,Donor,train
714,No,No,Yes,No,Yes,2,5,Yes,1,336,195,241,38,59,94.0,15.0,10.0,35,17,9.4,No Donor,train
715,No,No,No,Yes,Yes,1,1,Yes,8,845,312,378,12,22,25.0,10.0,5.0,28,7,6.25,No Donor,train
716,No,No,No,Yes,No,1,1,Yes,8,3131,595,649,6,72,137.0,6.0,3.0,30,6,2.914893617,No Donor,train
717,No,No,No,Yes,Yes,1,4,Yes,5,2353,442,511,11,81,178.04,7.0,5.0,33,3,4.565128205,No Donor,train
718,No,No,Yes,No,Yes,1,5,Yes,8,578,358,404,12,77,238.0,20.0,20.0,31,0,5.666666667,No Donor,train
719,No,No,Yes,No,Yes,1,2,Yes,8,200,251,288,29,37,71.0,12.0,10.0,32,3,7.888888889,No Donor,train
720,No,No,No,Yes,Yes,1,4,Yes,8,639,195,231,34,33,68.0,15.0,13.0,37,2,9.714285714,Donor,train
721,No,No,Yes,No,Yes,1,4,Yes,3,808,253,422,20,63,100.0,14.0,14.0,37,19,10.0,No Donor,train
722,No,Yes,No,No,No,1,5,No,9,962,421,456,14,43,77.0,20.0,20.0,36,7,12.83333333,No Donor,dev
723,No,No,No,Yes,Yes,1,5,Yes,8,2395,407,440,16,20,36.0,21.0,21.0,30,7,18.0,Donor,train
724,Yes,No,No,No,Yes,1,1,Yes,6,724,345,382,11,58,92.0,5.0,2.0,33,5,2.555555556,No Donor,dev
725,No,No,No,Yes,Yes,1,4,Yes,0,750,159,171,47,34,81.0,15.0,10.0,35,5,8.1,No Donor,train
726,No,Yes,No,No,Yes,1,4,Yes,6,612,393,428,6,80,160.0,7.0,3.0,28,6,4.848484849,Donor,train
727,No,No,No,Yes,Yes,1,4,Yes,8,843,157,232,49,32,61.0,11.0,10.0,28,6,7.625,No Donor,dev
728,No,No,No,Yes,No,1,3,Yes,8,1194,360,400,12,32,30.0,10.0,8.0,32,5,5.0,Donor,train
729,No,No,No,Yes,Yes,1,4,Yes,8,2675,270,391,16,36,50.5,5.0,5.0,29,6,4.590909091,No Donor,train
730,No,No,No,Yes,No,1,2,Yes,1,806,223,277,29,59,247.0,26.0,26.0,29,3,15.4375,Donor,train
731,No,No,Yes,No,Yes,1,4,Yes,8,449,147,213,53,33,48.0,6.0,5.0,31,12,4.363636364,Donor,train
732,No,No,Yes,No,Yes,1,7,Yes,8,1012,568,602,2,47,72.0,13.0,7.0,33,4,6.545454546,Donor,train
733,No,No,Yes,No,No,1,4,No,4,562,311,375,19,62,160.0,19.0,15.0,34,13,12.30769231,No Donor,train
734,No,No,Yes,No,No,1,3,Yes,5,659,403,409,5,88,189.0,10.0,10.0,19,10,8.217391304,Donor,dev
735,No,No,No,Yes,Yes,1,1,Yes,7,3110,396,515,13,60,170.0,15.0,11.0,37,8,7.727272727,No Donor,train
736,Yes,No,No,No,Yes,1,2,Yes,8,536,309,341,17,24,41.0,16.0,10.0,35,7,10.25,No Donor,train
737,No,Yes,No,No,Yes,1,2,No,1,1083,465,521,5,56,87.0,15.0,12.0,31,8,9.666666667,No Donor,train
738,No,Yes,No,No,No,1,5,Yes,8,1078,323,398,14,69,69.0,7.0,7.0,31,19,3.833333333,No Donor,dev
739,No,No,No,Yes,Yes,1,6,Yes,8,5769,1340,1144,4,29,80.0,20.0,15.0,32,7,16.0,Donor,train
740,No,No,Yes,No,No,1,6,Yes,8,658,390,471,7,25,30.0,13.0,13.0,29,7,7.5,No Donor,train
741,Yes,No,No,No,No,1,1,No,3,799,288,351,10,52,152.0,25.0,12.0,31,7,12.66666667,Donor,train
742,No,Yes,No,No,Yes,1,4,Yes,4,633,317,406,9,40,63.0,12.0,12.0,29,9,9.0,Donor,train
743,No,No,No,Yes,No,1,2,Yes,0,695,90,125,66,72,143.0,14.0,14.0,30,15,9.533333333,Donor,dev
744,No,No,No,Yes,Yes,1,6,Yes,9,3549,808,867,2,100,265.0,10.0,5.0,31,6,6.162790698,Donor,train
745,No,No,No,Yes,Yes,1,4,No,8,1369,329,355,28,22,27.0,11.0,11.0,31,3,6.75,Donor,train
746,Yes,No,No,No,Yes,1,3,Yes,8,830,488,555,4,64,188.0,18.0,14.0,31,13,11.05882353,Donor,dev
747,No,No,No,Yes,Yes,1,6,Yes,8,0,0,0,0,59,143.0,20.0,10.0,37,20,8.9375,Donor,train
748,No,No,Yes,No,No,1,6,Yes,5,676,358,368,14,37,63.0,25.0,25.0,31,9,12.6,Donor,dev
749,No,No,No,Yes,Yes,1,4,Yes,8,1321,559,571,1,44,60.0,10.0,5.0,29,10,6.0,Donor,train
750,No,No,No,Yes,Yes,1,4,Yes,2,781,246,268,34,36,172.0,20.0,10.0,37,4,13.23076923,No Donor,train
751,No,No,No,Yes,Yes,1,5,No,8,1490,410,438,10,33,105.0,15.0,15.0,35,3,10.5,No Donor,train
752,No,No,No,Yes,Yes,1,4,Yes,9,2460,729,764,0,131,247.0,10.0,5.0,33,2,4.75,Donor,train
753,Yes,No,No,No,No,1,5,No,8,665,328,352,16,75,211.75,22.0,10.0,36,3,10.5875,Donor,train
754,No,No,No,Yes,Yes,1,6,No,3,759,295,336,22,48,77.0,20.0,20.0,37,5,15.4,No Donor,dev
755,No,No,No,Yes,Yes,1,2,Yes,8,996,241,263,21,36,55.0,8.0,8.0,30,5,6.111111111,Donor,train
756,No,Yes,No,No,Yes,1,4,No,5,376,309,312,22,75,149.0,10.0,7.0,28,11,4.966666667,No Donor,train
757,No,No,No,Yes,Yes,1,4,Yes,2,500,292,294,17,57,405.0,60.0,60.0,31,3,33.75,No Donor,dev
758,No,No,Yes,No,Yes,1,7,No,8,1568,520,596,1,45,99.0,27.0,27.0,37,5,24.75,No Donor,train
759,No,No,No,Yes,Yes,1,4,Yes,6,1046,329,358,10,70,169.0,16.0,10.0,31,13,10.5625,No Donor,train
760,No,No,No,Yes,No,1,2,No,4,651,330,361,11,70,92.0,5.0,5.0,28,8,4.842105263,Donor,train
761,Yes,No,No,No,Yes,2,6,No,1,672,192,221,34,72,188.0,25.0,20.0,33,15,12.53333333,Donor,dev
762,No,No,No,Yes,Yes,1,7,No,9,3201,679,705,11,80,370.0,26.0,20.0,37,2,14.8,Donor,train
763,No,No,No,Yes,Yes,1,4,Yes,8,2505,502,580,3,29,50.0,20.0,15.0,20,3,12.5,Donor,train
764,Yes,No,No,No,Yes,1,5,Yes,4,608,301,326,18,76,131.75,5.0,3.0,30,5,2.439814815,Donor,dev
765,No,No,Yes,No,Yes,1,2,Yes,8,521,255,293,27,70,125.0,6.0,4.0,32,8,4.166666667,No Donor,train
766,Yes,No,No,No,Yes,1,2,Yes,3,816,268,331,10,74,215.0,20.0,6.0,28,12,8.958333333,Donor,train
